Paper,Reviewers
A graph-theoretic understanding of network-wide implications of local cyber protections for mission assurance,57201509548;57111140800;57201864184
"Factor analysis in automated face detection: Gender, occlusion, eyewear, brightness, contrast, and focus measure",57194875876;55359526600;34873697600
Numerical analyses of mortar incorporating the variation in poisson's ratio with increasing axial load,57191362366;6507359986;56386056100
In-situ measurements of strain in soft body armor with FBG sensors during ballistic impacts,57199980412;57216989927;57211642778
Application of “CODeve” methodology in transatlantic student design project,57195964820;56854811600;6508306234
Development and testing of a friction-based post-installable fiber-optic monitoring system for subsea applications,7006533953;57204728159;57205270902
Fixing the O&M Budget with Asset Management to Create More Capital Debt Capacity for Pipe Projects,7402074463;7102523474;6701834327
From lignocellulose to biocomposite: Multi-level modelling and experimental investigation of the thermal properties of kenaf fiber reinforced composites based on constituent materials,23009691800;57209274795;8621794000
Improving full-scale models of new carbon capture technologies with uncertainty quantification,8935141300;55315026400;57206455220
Ground-based sense-and-avoid system for small unmanned aircraft,57209640119;57209581042;57209567638
Defining a Sustainable Underground Infrastructure Framework: ISO Asset Management and ISO Life Cycle,7402648240;9733496700;57219312906
How Green Are You? Economic and Environmental Sustainability: Assessing the Global Warming Potential (GMP) of Your Underground Infrastructure,7003381644;34868168700;55315026400
Lateral Resistance of Abutment Piles Near Mechanically Stabilized Earth Walls,57203982016;56666222000;57196353469
Benchmarking your break rates: A review of new findings and trends from north American water main break studies,57194576753;57204761536;57202293242
Design of a clinical decision support system for fracture prediction using imbalanced dataset,6603615600;14059209700;34873697600
Water main criticality scoring and GIS centric risk mitigation: Applying GIS spatial analysis tools and apps for greater insight for high risk underground infrastructure,7003445799;7410171017;35435170000
Alternative diffusion anisotropy measures for the investigation of white matter alterations in 22q11.2 deletion syndrome,57204546854;57204555396;6701834327
Informing the use of hyperparameter optimization through metalearning,7102270639;55944583700;55100119300
Deep visual gravity vector detection for unmanned aircraft attitude estimation,57218761022;57210288045;55849071700
New Vapor-Pressure Prediction with Improved Thermodynamic Consistency using the Riedel Equation,57215598228;57190189579;57216183270
Bias estimation for angle-only sensors in distributed multi-target tracking systems,16643231700;55359090100;57208341600
Sidelobe Level and Aperture Efficiency Optimization for Tiled Aperiodic Array Antennas,57211516485;57219005376;55487415500
Nano-Composite Foam Sensor System in Football Helmets,57201739935;57205348362;7004060735
Effects of Laryngeal Activity on Articulation,12445208100;57201722090;35868117400
Discovering the building blocks of atomic systems using machine learning: Application to grain boundaries,57202047395;23091904000;6701421652
A Comparison of Indoor MIMO Measurements and Ray-Tracing at 24 and 2.55 GHz,16422844400;57189218211;57207110219
Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks,24830555500;56248593800;57212879455
Water supply damage caused by the 2016 Kumamoto Earthquake,57216076371;56560118600;7005044056
Plain-Style Preferences of US Professionals,35262249500;57208645178;57195591421
Analysis of the external radiation from circular cylindrical shells,57210292389;57210288045;56330168500
Antenna Loss and Receiving Efficiency for Mutually Coupled Arrays,7007155092;7004688501;7406552522
Continuous permeability measurement during unidirectional vacuum infusion processing,7003498769;57207841443;57202627263
"High-Precision, Mixed-Signal Mismatch Measurement of Metal-Oxide-Metal Capacitors",57190605478;57191110417;7004904337
A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows,14033765300;57193518829;6701720294
High-Speed Interrogation of Multiplexed Fiber Bragg Gratings with Spectral Distortion,57192070840;57202910818;57212151348
Layering Security at Global Control Points to Secure Unmodified Software,57218761022;57202612841;55860312700
Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location,35868117400;56701619800;57212277009
Dynamic grouping of cooperating vehicles using a receding horizon controller for ground target search and track missions,57210914089;6506736843;7403279876
Applying a passive network reconstruction technique to Twitter data in order to identify trend setters,16425686200;56830076500;57204032253
Selective Laser Melting aluminum waveguide attenuation at K-band,57217581770;56492379200;55247719300
Use of Personality Profile Assessments in the U.S. Commercial Construction Industry,35562442700;56102505100;57216486642
Simulations in Construction and Engineering Management Education to Explore Professional Challenges,7102879142;56703308500;57204902069
A comparison of model predictive control and PID temperature control in friction stir welding,57194392244;57209538650;7401431037
Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors,57023931200;7004307869;55849071700
Review of research on student-facing learning analytics dashboards and educational recommender systems,7406665619;12808778700;56149906900
Design for excess capability to handle uncertain product requirements in a developing world setting,56330970800;57209110872;57204031131
Mitigated FPGA design of multi-gigabit transceivers for application in high radiation environments of High Energy Physics experiments,24831334500;19638969800;55301279200
An ultra-high Q inductorless narrowband filter based on the voltage divider phase shift method,57195961036;57203309361;7102405529
SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,57192010162;36668159600;55660173800
Custom 3D printer and resin for 18 μm × 20 μm microfluidic flow channels,57212304730;57215697686;57211158470
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking,26039464700;56364369100;57189382200
"The need, development, and validation of the innovation test instrument",57190808464;57202612703;8321530600
Inferring ascending auction participation from observed bidders,57218202833;55681652500;56417117600
Differential effects of air conditioning type on residential endotoxin levels in a semi-arid climate,56795914000;51461952600;6602749964
Inverted L-arm gripper compliant mechanism,8608718200;7007046711;9739395200
A multi-user computer-aided design competition: Experimental findings and analysis of team-member dynamics,55161739600;56353116200;57204830739
Diagnostic and prognostic value of delayed Gadolinium Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC) in early osteoarthritis of the hip,9942259800;57190261034;7403085570
"The human touch: How non-expert users perceive, interpret, and fix topic models",57208598187;57190247942;57210289242
Shear joy of watching paint dry,7004904337;7005513246;57218202833
Bad news first: How optimal directness depends on what is negated,7005513246;7402004420;7004904337
Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors,7201741468;56387524600;57192595504
Optofluidic lab-on-a-chip fluorescence sensor using integrated buried ARROW (bARROW) waveguides,36987999600;57202910818;7202812767
Toward quantitative characterization of essential tremor for future tremor suppression,57217581770;23388379100;7103123753
Water entry of deformable spheres,55258876800;20735824800;7402648240
Generating derivative superstructures for systems with high configurational freedom,7004307869;57209912956;57205257595
Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies,57203230997;55486520500;56716068400
Space-Time Coding for Aeronautical Telemetry: Part i - Estimators,57126390100;24726409500;55710750200
Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance,7006715937;57205292526;36011148100
Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys,57218202833;6602776615;6701863708
The AFLOW Library of Crystallographic Prototypes: Part 1,7402648240;57215534774;57144864700
Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts,7005513246;54978625300;9942259800
Counter UAS using a formation controlled dragnet,57200077532;14059209700;57195420301
Variable stiffness adaptation to mitigate system failure in inflatable robots,35344727500;57199050938;57193627694
"Multi-objective design optimization of a soft, pneumatic robot",57208598187;57200117690;55807632000
Motion planning for mobile robots using inverse kinematics branching,8621794000;57210912098;57209581042
SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,57198318094;6701876192;57203981655
"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",57196261400;57205388766;7202316035
Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,56404157200;57205652485;57210292389
A Systems Engineering Approach to Harnessing Human Energy in Public Places: A Feasibility Study,57210289242;57217146534;57202017958
Modeling global and local codon bias with deep language models,57204032253;6701774874;7404062227
Carbon monolith scaffolding for high volumetric capacity silicon Li-ion battery anodes,57208823236;7202083837;35791260000
Strategies employed and lessons learned by commercial construction companies during economic recession and recovery,56741048000;57204032253;56662711400
Whole genome phylogenetic tree reconstruction using colored de bruijn graphs,25627506700;6603354235;35228854600
Genome polymorphism detection through relaxed de bruijn graph construction,57202194800;7103286989;9741422500
Cooperation induction in two player bertand markets with linear demand,7006542177;6701720294;35621274900
Student perceptions and attitudes towards a required vs. An optional course in leadership,57194503011;13607032600;23050937200
Technology and design programs,6602649851;6603717022;57203300120
Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction,57202433366;57215333932;57195964820
Cross platform usability: Evaluating computing tasks performed on multiple platforms,56369566500;57218202833;56741048000
Sustainable water filters in southern Peru,57203028829;7004300863;6507028828
Global humanitarian-based projects: A documentation strategy for strengthening project sustainability,57212877661;57208184650;57200649104
Project-based learning curriculum for the junior year based on building a laser tag system,57212351059;56300864300;57195964820
A model workshop for helping new faculty engage students in the STEM Classroom,57212877661;57195921912;57190806425
Investigating engineering students' understandings of social and ethical responsibility: Coding framework and initial findings,57193603847;57195961036;56740595400
Analytical fragility curves for non-skewed highway bridges in Chile,57208524360;24080990600;55898266700
Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna,6602305778;24923036100;57188833818
Associative CAD references in the neutral parametric canonical form,55945437600;24758929200;57205762398
Design of low-power ultra-high voltage gain differential cascode stages,57003496300;57210289242;57189030360
Village Drill: A Case Study in Engineering for Global Development with Five Years of Data Post Market-Introduction,57191620725;57204761536;16178649400
Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings,8608718200;57217581937;7004479819
"Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth",7406665619;7005976828;56701619800
Enabling Dissimilar Material Joining Using Friction Stir Scribe Technology,57211422454;24401574900;55726346900
Simulation and exploration of high-density unmanned aerial vehicle systems,57189292901;55660173800;35408719100
An RVE procedure for micromechanical prediction of mechanical behavior of dual-phase steel,57216811262;55159798000;57218836048
Mitigating Water Absorption in Waveguides Made from Unannealed PECVD SiO2,57218202833;57205393448;55812232700
Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus,12142543700;57201980753;57208225620
Semi-empirical Model for Fire Spread in Shrubs with Spatially-Defined Fuel Elements and Flames,56714263700;57195419580;7201970805
Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities,57203192812;56218368600;23091904000
Measurement-Directed Reduction of Dynamic Models in Power Systems,39362193900;35790633100;8715877100
Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase,7005636820;56266132600;56795914000
Microstructure Correlation with Formability for Biaxial Stretching of Magnesium Alloy AZ31B at Mildly Elevated Temperatures,7004904337;57203486012;8641604600
Tuning Ferritin's band gap through mixed metal oxide nanoparticle formation,57193834529;56767836200;6701610428
Permanganate-based synthesis of manganese oxide nanoparticles in ferritin,57194679331;57203943386;57200515115
"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD",54978625300;57200363612;6508342170
Thermal characterization of natural and synthetic spider silks by both the 3ω and transient electrothermal methods,57200687939;9236660300;6603354235
Fundamental Principles of Tremor Propagation in the Upper Limb,57205849200;16548784600;7006001488
Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements,24295291100;57189843306;6603286802
Planning and Analyzing Experiments with Models that Distinguish Between Replicates and Repeats,35435170000;6602889035;57214365851
"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application",57204762755;35562442700;57215598228
Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,57201722090;57201367093;7003381644
Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,57188681207;57209581042;56985459400
Ground-based 3D radar imaging of trees using a 2D synthetic aperture,57190808464;57219015425;7406665619
Overview of estimation methods for industrial dynamic systems,6507358470;35508257500;57188681207
Reservoir sustainability and sediment management,57189445479;55944615300;56556056000
Infrastructure Project Scope Definition Using Project Definition Rating Index,57204570329;57197773578;57205595555
Evaluation of stochastic particle dispersion modeling in turbulent round jets,6701746882;56857577200;56584019300
Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys,57193878725;7406665619;57208184650
Nonparametric Tree-Based Predictive Modeling of Storm Outages on an Electric Distribution Network,57190131647;57209538650;57203179434
Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences,23050937200;57205393448;35508257500
"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths",57201912667;56164575400;7202538835
Three-dimensional microscopic light field particle image velocimetry,23050937200;55588035200;57198450286
In-situ grain structure and texture evolution during friction stir welding of austenite stainless steel,16033650300;57211281996;57195921912
"Poynting Streamlines, Effective Area Shape, and the Design of Superdirective Antennas",56020026900;6508306234;57206024435
Structural analysis and optimization of tall buildings connected with skybridges and atria,6602549459;6602889035;57215280005
Comparison and Analysis of Recursive-RANSAC for Multiple Target Tracking,55849071700;10640480600;57190404271
Light splitting with imperfect wave plates,7005523706;57215613881;7004904337
Comprehensive and quality-controlled bedload transport database,14059209700;57210419894;56710953300
Active Integrated Antenna Supporting Linear and Circular Polarizations,36944158600;57216751001;57218202833
Stability of Viscous St. Venant Roll Waves: From Onset to Infinite Froude Number Limit,57204029674;57217564448;57201666213
MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria,57191156976;55919211300;57211443769
Design and characterization of integrated 2D ABEL trap,57193834529;57193089338;8929123100
"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",10640480600;8621794000;7201793184
Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C,57192893058;57198044407;7007046711
Predicting efficiency of a turbine driven by pulsing flow,56369566500;57190371042;10141271600
Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR,57202116348;10640480600;51461952600
In situ bubble characterization during resin infusion for process simulation of voids,7004307869;7005934389;57217866402
TrustBase: An architecture to repair and strengthen certificate-based authentication,57218202833;7003292762;56417117600
Relative target estimation using a cascade of extended Kalman filters,6507270351;57192697616;57195995765
Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects,56810920600;16425686200;56740595400
Sell it: Design project assessment by the public,6602562656;56353116200;56300864300
Design education and the new culture of design centric intellectual property,57208645178;34874038200;57211281996
Integrating a multidisciplinary design methods mindset into classroom practice,36245410800;57202433366;57212271159
Using local invasive species and flora to manufacture collagen based biodegradable plastic tableware,13607032600;6602562656;7004300863
Extension of the QuikSCAT Sea Ice Extent Data Set with OSCAT Data,8321530600;57190858572;7005709969
Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames,55736791400;36618663400;7101671848
Investigation of merging flames in horizontal and vertical geometries,57216811262;55944583700;57200207993
A comprehensive model for predicting elemental composition of coal pyrolysis products,8208300700;57205293533;56221901100
Modeling soot in coal systems,8935141300;57211105311;57210375461
Re-epithelialization of whole porcine kidneys with renal epithelial cells,57204597171;57215607275;24492691800
Pull-out strength of composite rebar made using a three-dimensional braiding machine,6506269903;57201397713;8715877100
On if-to-baseband translation and resampling in sampled-data receivers,7102975249;57202116348;7005513246
On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry,57212877401;24779209500;35147940600
Analysis of pyrolysis products from live shrub fuels,7101671848;7202035366;57171695300
Pyrolysis of live vegetation at slow heating rates,7201970805;57188753800;7006111578
Impact of particle properties on radiative heat flux in an oxy-coal reactor,7101671848;57201704300;57210375461
Investigation of merging flames in Horizontal and vertical Geometries,57194231165;7004609408;57210375461
Modeling a pressurized coal feed system,57218095797;6507358470;57195290099
A fast-running simulation tool for axisymmetric oxy-coal combustors,57202580740;57190404271;57204695840
Realizing origami mechanisms from metal sheets,7006111578;57212277009;7102879142
Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds,12445208100;56740595400;8533888200
Optimization of origami-based tubes for lightweight deployable structures,57215031057;9277159100;56890669600
"An assessment of village drill sustainability, with recommendations",24759275600;13605498800;6602198438
A simple starting point for designing for and/or assessing the social impact of products,7005513246;57193574682;57216531463
Impact of computational mesh on CFD combustion predictions,57210287166;7004300863;57081918700
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip,57194158491;57194155925;57195591421
Two-phase flow pressure drop in superhydrophobic channels,7006253705;36106810300;57205293533
A Hybrid Approach to FPGA Configuration Scrubbing,25639041400;57208709468;57197728435
Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs,57206834042;57202047395;57210287166
Hydrodynamics of droplet impingement on hot surfaces of varying wettability,56260937200;57195264521;57218886193
Adding EUV reflectance to aluminum-coated mirrors for space-based observation,57217581770;6602423274;55806548500
Small aircraft flight encounters database for UAS sense and avoid,57211987837;55613237293;57215306633
Implementing highway safety manual life-cycle benefit–cost analysis of safety improvements,57203572325;6601976036;36893877000
Semantic style creation,57215280005;7005523706;57204761536
Implementation of lean practices among finishing contractors in the US,57190371042;57218593446;35147940600
Delivery methods and social network analysis of unethical behavior in the construction industry,57218221803;6602649851;57195960835
Fourier descriptors for improved analysis of distortion transfer and generation,57218202833;35269204800;56830076500
Improved bottomhole pressure control with wired drillpipe and physics-based models,19638969800;57196275913;57188691775
Field testing of Cryogenic Carbon Capture,57194231165;57190371042;55736791400
Gradient-based optimization of wind farms with different turbine heights,6701777223;6507358470;8448666000
"Probabilistic Lateral Spread Evaluation for Long, Linear Infrastructure Using Performance-Based Reference Parameter Maps",56244956300;7102523474;57198919773
Preserving optical confinement in unannealed PECVD SiO2 waveguides,57193755486;37113017300;55664291100
Multimodal multiplexing of single-virus detection using multi-mode interference waveguides,57211443769;56741048000;57203943386
Single particle fluorescence analysis on demand on electro-optofluidic chip with gated particle delivery,57212089454;57202256915;55812232700
Efficient feature descriptor for unmanned aerial vehicle ground moving object tracking,7801515665;55797091700;7201675107
Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests,24081598300;7005513246;56677251600
Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments,34874038200;56681156600;57217581770
Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas,57188753800;56798055200;57194874146
Optimizing coded 16-APSK for aeronautical mobile telemetry,55544941800;55855376400;55649569259
Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry,26642910500;55301279200;57126390100
Modeling soot formation from solid complex fuels,24830555500;6602776615;57196952707
Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,6701610428;36137344800;57204761536
Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,57193749678;55945088000;57215031057
Elastic energy absorption of origami-based corrugations,57218221803;8208300700;56781290700
A framework for energy-based kinetostatic modeling of compliant mechanisms,16548784600;56890669600;7401970125
Kinematics and discretization of curved-fold mechanisms,7102900497;56830076500;55860312700
Split-vertex technique for thickness-accommodation in origami-based mechanisms,8533888200;7003498548;56890669600
Rigidly foldable quadrilateral meshes from angle arrays,7004307869;57218102993;9942259800
"Improving sensitivity of electrochemical sensors with convective transport in free-standing, carbon nanotube structures",56086163900;57219015425;56692412900
Automatic model calibration for drilling automation,7003663333;57191587072;57214365851
Acoustic shock formation in noise propagation during ground run-up operations of military aircraft,7005241866;57205293533;15766049500
Level-educed wavepacket representation of Mach 1.8 laboratory-scale jet noise,57217317667;7006085792;57195591421
Beamforming-based wavepacket model for noise environment predictions of tactical aircraft,56857577200;7005513246;6506010179
Characterization of supersonic laboratory-scale jet noise with vector acoustic intensity,56857577200;57219332168;56256103500
Preliminary investigation of multilobe fighter jet noise sources using acoustical holography,57218202833;56256103500;57205285411
Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,6508265156;57210928665;7402407628
Exploration of carbon-filled carbon nanotube vascular stents,57195970826;57211158470;56585583100
Effect of leader placement on robotic swarm control,56330970800;57188688103;57209581042
Geofoam inclusions for reducing passive force on bridge abutments based on large-scale tests,23009691800;56559765400;6507359986
A comprehensive model of single particle pulverized coal combustion extended to oxy-coal conditions,55457444300;7005251917;7403220237
Towards a universal social impact metric for engineered products that alleviate poverty,56716068400;6701610428;57207689986
The scaled SLW model of gas radiation in non-uniform media,35262249500;14059209700;7004495126
Near-to-eye electroholography via guided-wave acousto-optics for augmented reality,57193755486;57215607275;57189218211
The use of unmanned aerial vehicles and structures from motion to measure the volume change at a deep dynamic compaction site,57204032253;57193903292;35562442700
Optimal Distributed Control for Platooning via Sparse Coprime Factorizations,54978625300;56371366400;6602776615
Highly compressible origami bellows for microgravity drilling-debris containment,57188658434;55806548500;57188681207
Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry,57217723923;6507586174;56709287700
"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension",6507358470;57189491950;55770396700
A summary of data-aided equalizer experiments at edwards AFB,57190404271;36668159600;24465414600
A minimal realization technique for the dynamical structure function of a class of LTI systems,57215613881;9942259800;57201257192
